firstname,lastname,email,is_customer,last_purchase_date,unique_id
RpKgBdkNNHR,TxpjSaDsAAs,RpKgBdkNNHRTxpjSaDsAAs@yahoo.com,TRUE,12-02-2020,2e3d9565dd8906a3c5c969d57a6734e90fe053d19fcd49d389d0439703ec5e15
jzuohvIKhCq,dGWSNWqBXWF,jzuohvIKhCqdGWSNWqBXWF@gmail.com,FALSE,12-15-2020,3eb75cfa7e17b7d603fa9f790795168451c9e626ad5b61fef392434ae0b30317
oXMJFFscrYz,sEBmtFomXvd,oXMJFFscrYzsEBmtFomXvd@gmail.com,FALSE,12-05-2020,0b78895424e316677d50943bff0d276f5bc875bcbbd5a6b54e1ebba84f037582
lSBApMotovm,oSsJQVutrhE,lSBApMotovmoSsJQVutrhE@gmail.com,FALSE,12-24-2020,9e3ed58d7cfead97fadcf96886107ab8729a683fa1bb4273fbbf0647df213e87
vgUcjcNradV,KGmwSXjZpDw,vgUcjcNradVKGmwSXjZpDw@yahoo.com,FALSE,12-10-2020,188c9d2bcb6486ec19296c5613f8fc66d6281c328055aa937f96dfaebf8374a7
QXBjICHhAkP,FYWpUAZpVOe,QXBjICHhAkPFYWpUAZpVOe@gmail.com,FALSE,12-01-2020,bef90c02bc2830612b02c1c3198dd92bbe1537f1b8bdcb4950a9ec7f8d7807cd
UMOqoHMMkGr,BbLUxaasPjx,UMOqoHMMkGrBbLUxaasPjx@yahoo.com,TRUE,12-08-2020,861cea16dbf6e3d0c398da53e7193b85c1d02a55112e609927f2f4849dd049b9
GPvJFgYGecc,lpfofzcQUJw,GPvJFgYGecclpfofzcQUJw@yahoo.com,FALSE,12-29-2020,9f8f8582bd00e3386d08d2dc6ac3035e8778e91e28a72a07639acefe26207b3d
GabjxuPfpzM,eRDpRLqjUOt,GabjxuPfpzMeRDpRLqjUOt@gmail.com,TRUE,12-26-2020,da9af1553373337078861be56e9b66d5c45042d3c14d4836b9069d057f1dd3bd
lOcFIlQmqIL,agpmtBgxLst,lOcFIlQmqILagpmtBgxLst@gmail.com,FALSE,12-03-2020,6d559ecf7f3353f3eb065f7fb43954e3c5417f13cd98e4d1c307d11b275f05c5
GAxgmPdQzqA,CPcExbOtJrc,GAxgmPdQzqACPcExbOtJrc@yahoo.com,FALSE,12-02-2020,bc1ef36f668c12cb988bfd38f2fb0582582c61609395557897bc0a6248be51ea
CVpclQevOVc,RJQEHvBTKli,CVpclQevOVcRJQEHvBTKli@yahoo.com,TRUE,12-22-2020,70423b9faa2e680507a0fd8eb3ece12c06031355658dfdf3e179fbe0841331cf
UytBuzqaTrG,gMSxfplJKkN,UytBuzqaTrGgMSxfplJKkN@gmail.com,TRUE,12-10-2020,e55fc1a0cea2181e61c5e6429b7261deec6f217e342aa615b705dd2b96cbb0d7
PywWpOnFAkv,PHrgmOLHMrx,PywWpOnFAkvPHrgmOLHMrx@gmail.com,TRUE,12-15-2020,d4bea1aee9af93462596fb4d21c73294dc3ef84bf3ddb3c677ff2157e2092029
hQluUPGqZCU,hUgoORgqIZJ,hQluUPGqZCUhUgoORgqIZJ@outlook.com,TRUE,12-13-2020,82cb0538fe585f261a7a6451daa7dfe930f3dd2cbff1566836b0e8667be1485c
ZAGczoYaLKL,nLhqNkOYoHT,ZAGczoYaLKLnLhqNkOYoHT@yahoo.com,FALSE,12-14-2020,b3758667a3f4462aa5d0f6f20050e0b899534cb5701a48bd99ccf1768f1edc2d
XPlFZrrNBpx,qQPbbyRFgzS,XPlFZrrNBpxqQPbbyRFgzS@outlook.com,FALSE,12-18-2020,4d85dd66feb79b4686abac512052ca84b83d7669d8e440ec2fe2f081a8cb7720
pJszWrjQmjG,mstppcDxWQx,pJszWrjQmjGmstppcDxWQx@yahoo.com,TRUE,12-20-2020,5b7fbf99819326c3014a498f9b68beaf0c3c7e7285c6a1944309a457f018ac3f
qkcloaXQAaM,ZkyKYzSCjJP,qkcloaXQAaMZkyKYzSCjJP@outlook.com,TRUE,12-03-2020,52c28a2135af51504eb77835b9ec8ed872e63d758d0150f95613db8bc0bfdbf1
SikkhBFlaUc,YYMLlOmddjB,SikkhBFlaUcYYMLlOmddjB@gmail.com,TRUE,12-07-2020,743f7e231e98cf0403c3ef6c245967bcb774b34e833533c24c804e6102bde095
agYJlMBEVsk,IkkzWlhZIyr,agYJlMBEVskIkkzWlhZIyr@outlook.com,FALSE,12-08-2020,07d7ef409a3a1acbaca6db811f2c4d6e2f3823c6052a0a00626dee81e3b66775
upXzQCFkYAN,pDemZltgdwP,upXzQCFkYANpDemZltgdwP@outlook.com,FALSE,12-09-2020,ba65132ae55f800bf280426bb7badd89f4464d0c2f133b541223b647ccd01d1a
vXWEJWNRgUX,uReCxTOMYAV,vXWEJWNRgUXuReCxTOMYAV@yahoo.com,FALSE,12-27-2020,909afeea342b1cf0b224e88ec75750c22893a27f6e2358f082a7dcd64fa3bb05
AzhGypHBrAS,LWEmaKjXFeq,AzhGypHBrASLWEmaKjXFeq@outlook.com,FALSE,12-18-2020,740b790d5a4c8f87753d51f92340c2fc02d7bfd837d8ea204bcc472edc7bbb3b
JgOkLLafyYf,SOgjjhreDYm,JgOkLLafyYfSOgjjhreDYm@gmail.com,TRUE,12-13-2020,ad8c5fde04fc875b98bb0b5fc6352a277c92e0cbfee9dc7799c8dd6dae98b81d
mLMCMPoEreO,LHWaGEkxuxo,mLMCMPoEreOLHWaGEkxuxo@yahoo.com,TRUE,12-08-2020,3e725b1ebbaa437f83d1a390f0a0ab3bad4cb22887eca96cf009d340177ee9b1
NFIDEJjKrju,UkNLbijKpuM,NFIDEJjKrjuUkNLbijKpuM@yahoo.com,FALSE,12-10-2020,672c4e9473d77e9f2cbef4b92c08adb2ed8b1b29943a5c08a2b69235dcb5364d
jSufMAPuSpE,MoDpiktFTzC,jSufMAPuSpEMoDpiktFTzC@yahoo.com,FALSE,12-20-2020,ffd6c094064005c5df1b5711155ac5a0c5c73c8d81d2654fb5b3603378d59357
XLkAMPhplLy,MmSCLTfdgmB,XLkAMPhplLyMmSCLTfdgmB@outlook.com,FALSE,12-08-2020,4652761bde652656412f89eac425e1ad550b25f2a2bd02f0bd7d13848080589a
mWdbcLWSXTG,TglBsTjAcGP,mWdbcLWSXTGTglBsTjAcGP@yahoo.com,FALSE,12-07-2020,a7be08a0eceeaaafa9fbd4db77e8761e075093d01897f219ecc9c066cb961d12
fIazCUZHFZT,horrYkDzJXk,fIazCUZHFZThorrYkDzJXk@gmail.com,TRUE,12-15-2020,9e601ac574adee2ff9a465d2a4ecdfb3c5687f77db9d6c99e4669fbb09e5aaf5
DLwbKbkPEEm,iBPtDDGEAkG,DLwbKbkPEEmiBPtDDGEAkG@gmail.com,TRUE,12-20-2020,e6c18c9e6c0105f5b757e04b78e915311c5ba83db3165459fbb16387856d195c
EHBOIxnFnnB,rLwyhmgTFVT,EHBOIxnFnnBrLwyhmgTFVT@yahoo.com,FALSE,12-22-2020,b805cd6d7187acb742b562960b1efaece354b2f32dfae68abbb58c17a605e835
aHAXFqsMXGj,FtQYTgtnTQC,aHAXFqsMXGjFtQYTgtnTQC@outlook.com,TRUE,12-17-2020,6eadd70c20241f18189eedc6815025e35162ced80db6504655530edc452795ca
hhVkEJZoMby,hudJJvElztZ,hhVkEJZoMbyhudJJvElztZ@outlook.com,FALSE,12-01-2020,de8c4750e4c7b0f15656450b441dd031cc7fe2db2362ccf334d8e5557240e838
WWgWqgLRQxy,zbfRSOFWDDs,WWgWqgLRQxyzbfRSOFWDDs@gmail.com,TRUE,12-04-2020,734b8e20183326d9b516e39538480e07a454ae428f4b72518e1d564d43da4604
WQkBpEIvNnJ,zYmQfGeRnfG,WQkBpEIvNnJzYmQfGeRnfG@yahoo.com,TRUE,12-25-2020,ac51c0441b3b48b7db41b81df59870f51b6ea8bbf145b729979f10710578092d
mCzxOtbAIye,oApmcPanAZj,mCzxOtbAIyeoApmcPanAZj@yahoo.com,FALSE,12-28-2020,2c8c870c5e768ad8a6ae906f30463756b41c791545e0b0d7817c088c3666bc7f
fshSZiEabCb,RHMsHDgLBfR,fshSZiEabCbRHMsHDgLBfR@gmail.com,FALSE,12-26-2020,d63bcc35715343bf9fc981a208454be2d0c6461d006f690c829b91198c161b21
zRoRPbLPlah,MCqysvgnjKS,zRoRPbLPlahMCqysvgnjKS@outlook.com,TRUE,12-15-2020,f458439d4a2dda543e9d1045cda0b15f221f4eaedeaa6a9aae59b7f9d3a4bfa8
irdzXiFpaWZ,BcqOxaAuNSE,irdzXiFpaWZBcqOxaAuNSE@outlook.com,FALSE,12-08-2020,bbe0515d19e5b6fdad168964a0cc69ac897ec6deb501d93bea5ace369173aec2
dXUjieCODru,xDweAjAKtwx,dXUjieCODruxDweAjAKtwx@yahoo.com,FALSE,12-13-2020,82b669e3d194e981df9868b820e133d24a10b442bde1203ef1317c3604846c79
PcVoZWVCUet,AfLAMBfgWBN,PcVoZWVCUetAfLAMBfgWBN@gmail.com,FALSE,12-14-2020,742f42183772b1ca2440303e2fdea65f2050f1aa1d4a72f6e1ad7637b6dd05a4
wIqeCmsJOSy,iGtRLbBgjlj,wIqeCmsJOSyiGtRLbBgjlj@outlook.com,FALSE,12-30-2020,0d6c2242dcb551bf147eaea8980a62cdebaff12680646b3b9747f015a1150868
MFBFKQeedTL,SWHwVXHwBtO,MFBFKQeedTLSWHwVXHwBtO@outlook.com,TRUE,12-15-2020,1b4d1ec130d01c272f8ce6c55f7f798935abfcc72375bcad1719d92b4f51e29e
ivYndhufZML,xyibLYdhAac,ivYndhufZMLxyibLYdhAac@yahoo.com,FALSE,12-02-2020,7f721eee2d5b2cd924c1bbb0f942659fcbf88a7b9bc794bec576ef4066f90343
gwtRxRTdNNS,EUOyIdXBLgB,gwtRxRTdNNSEUOyIdXBLgB@gmail.com,FALSE,12-22-2020,4ed961331a4427c8f44946e16e648367b87ac57879ab8e6783b760e70e72a71b
yzLOYeIWJUD,XWAoNOtNRCH,yzLOYeIWJUDXWAoNOtNRCH@yahoo.com,TRUE,12-08-2020,2cade65dba7c7a7775c158e6da347f9792a154548e57e32f5f281f7841655066
